number,value,datetime_start,datetime_complete,duration,params_batch,params_depth,params_dropout,params_h1,params_h2,params_h3,params_h4,params_lr,params_optimizer,params_patience,params_weight_decay,state
0,0.6525,2025-10-26 17:40:13.904824,2025-10-26 17:40:36.420205,0 days 00:00:22.515381,64,4,0.10532005692506055,512,128.0,768.0,768.0,0.0011378505525394458,rmsprop,2,0.00042377628866986417,COMPLETE
1,0.63,2025-10-26 17:40:36.421165,2025-10-26 17:40:57.114057,0 days 00:00:20.692892,256,4,0.2947463329553983,256,768.0,64.0,512.0,0.00051254518980472,adamw,5,0.003973736180085413,COMPLETE
2,0.63625,2025-10-26 17:40:57.114947,2025-10-26 17:41:09.782278,0 days 00:00:12.667331,64,4,0.15835320703350955,256,128.0,256.0,512.0,0.0010132606076745394,adamw,3,3.207089600317807e-05,COMPLETE
3,0.6225,2025-10-26 17:41:09.783272,2025-10-26 17:41:26.370928,0 days 00:00:16.587656,256,4,0.23139150136346,128,768.0,64.0,768.0,0.0018947840263564483,adamw,3,2.9123498063693933e-06,COMPLETE
4,0.4,2025-10-26 17:41:26.371826,2025-10-26 17:41:39.792603,0 days 00:00:13.420777,128,4,0.5594539002007849,128,128.0,512.0,512.0,0.0005557149720622367,sgd,3,0.0017832477539263649,COMPLETE
5,0.6175,2025-10-26 17:41:39.793760,2025-10-26 17:41:57.991094,0 days 00:00:18.197334,256,4,0.2886764166319067,128,768.0,768.0,128.0,0.0014107907204445862,adamw,5,0.0009088278297577448,COMPLETE
6,0.5875,2025-10-26 17:41:57.993304,2025-10-26 17:42:05.913499,0 days 00:00:07.920195,64,4,0.19078084676992532,64,256.0,256.0,64.0,0.0021684446139092527,adam,4,3.1208848826426895e-05,PRUNED
7,0.3925,2025-10-26 17:42:05.914441,2025-10-26 17:42:15.874206,0 days 00:00:09.959765,256,3,0.13403681353966454,128,768.0,128.0,,0.0003054457029918691,sgd,4,0.006282163428093432,PRUNED
8,0.63875,2025-10-26 17:42:15.874996,2025-10-26 17:42:34.737566,0 days 00:00:18.862570,128,2,0.42871274331075304,768,256.0,,,0.0018318730072697468,adam,5,1.547350438248551e-06,COMPLETE
9,0.3975,2025-10-26 17:42:34.738389,2025-10-26 17:42:44.516690,0 days 00:00:09.778301,128,3,0.35958806397620646,64,256.0,768.0,,0.0004202518359519448,sgd,2,3.105355640683409e-05,PRUNED
10,0.63125,2025-10-26 17:42:44.517429,2025-10-26 17:43:03.577658,0 days 00:00:19.060229,32,1,0.48683220814749334,512,,,,0.00013349899720103433,rmsprop,2,0.0003133977353475386,COMPLETE
11,0.625,2025-10-26 17:43:03.580159,2025-10-26 17:43:28.827113,0 days 00:00:25.246954,64,2,0.4182592282389336,768,64.0,,,0.004005429655581076,adam,5,3.5371032016689604e-06,COMPLETE
12,0.58875,2025-10-26 17:43:28.829308,2025-10-26 17:43:42.431992,0 days 00:00:13.602684,128,2,0.4421984888740969,768,512.0,,,0.004687603123626218,rmsprop,4,1.0540105744201468e-06,PRUNED
13,0.63625,2025-10-26 17:43:42.434308,2025-10-26 17:43:57.308370,0 days 00:00:14.874062,32,1,0.5610655102075223,512,,,,0.0009933363434331977,rmsprop,2,0.00018392390717818357,COMPLETE
14,0.62875,2025-10-26 17:43:57.310304,2025-10-26 17:44:22.556827,0 days 00:00:25.246523,64,2,0.10409367810656242,768,256.0,,,0.0027793737589632086,adam,3,0.0005242707697300775,COMPLETE
15,0.63625,2025-10-26 17:44:22.558611,2025-10-26 17:44:42.919543,0 days 00:00:20.360932,128,3,0.37417336754726366,512,128.0,768.0,,0.0010412997069991572,rmsprop,4,7.377758708494614e-05,COMPLETE
16,0.6325,2025-10-26 17:44:42.920412,2025-10-26 17:45:04.497972,0 days 00:00:21.577560,128,2,0.48971835490026544,512,512.0,,,0.00020496277698420107,adam,5,1.0860591066536533e-05,COMPLETE
17,0.635,2025-10-26 17:45:04.500257,2025-10-26 17:45:18.090545,0 days 00:00:13.590288,64,3,0.2861051570136639,768,64.0,128.0,,0.0015181715098016497,rmsprop,2,0.00010884926428584085,COMPLETE
18,0.62875,2025-10-26 17:45:18.091394,2025-10-26 17:45:45.548843,0 days 00:00:27.457449,32,1,0.416281025915895,512,,,,0.0028937276004964924,adam,4,8.122726040729546e-06,COMPLETE
19,0.63375,2025-10-26 17:45:45.549776,2025-10-26 17:46:07.723574,0 days 00:00:22.173798,128,3,0.22907945222169257,768,256.0,512.0,,0.0007555894562350188,rmsprop,3,0.0017151067824716499,COMPLETE
